name,occupation,phone_number,street_address,zipcode,long,lat
Sonja Arganbright,Internal Medicine,8715782752,"12615 E Mission Ave Ste 200 Spokane, WA 99216",30308,33.770571,-84.381182
Islam Abujubara,Neurology,1285718573,"9250 N 3rd St Phoenix, AZ 85020",30308,33.770571,-84.381182
Vinod Abraham,Neurology,8714587589,"12070 Old Line Ctr Ste 100 Waldorf, MD 20602",30308,33.770571,-84.381182
Jacqueline Andrews,Neurology,8175193208,"200 E Main St Patchogue, NY 11772",30308,33.770571,-84.381182
Anton Lotman,Neurology,5390859234,"1900 Woodland Dr Coos Bay, OR 97420",30308,33.770571,-84.381182
Tapan Abrol,Neurology,1203348712,"401 E Chestnut St Unit 510 Louisville, KY 40202",30308,33.770571,-84.381182
Leah Enwright,Pediatrics,7583752853,"17101 Snowmobile Ln Ste 203 Eagle River, AK 99577",30308,33.770571,-84.381182
John Harris,Pediatrics,1875289752,"2600 Wilson St Stop 1 Miles City, MT 59301",30308,33.770571,-84.381182
Richard Aguilar,Pediatrics,1829754298,"215 E Hawaii Ave Nampa, ID 83686",30308,33.770571,-84.381182
Najla Abdur,Pediatrics,8971987892,"7001 Johnnycake Rd Ste 101 Baltimore, MD 21244",30308,33.770571,-84.381182
Shawn Abel,Pediatrics,1825789152,"511 W Fm Murphy, TX 75094",30308,33.770571,-84.381182
Bascom Bradshaw,Psychiatry,1302782754,"6501 US Highway 431 N Headland, AL 36345",30308,33.770571,-84.381182
Daniel Park,Psychiatry,2199034908,"1825 Pinion Rd Ste Elko, NV 89801",30308,33.770571,-84.381182
Cynthia Brown,Psychiatry,9701897458,"2359 Val Tech Rd Valdosta, GA 31602",30308,33.770571,-84.381182
Marilyn Adler,Psychiatry,1087234589,"10235 Pearl St Boulder, CO 80302",30308,33.770571,-84.381182
Casey Arney,Psychiatry,1252454635,"30 Burton Hills Blvd Ste Nashville, TN 37215",30308,33.770571,-84.381182
Ronald Blachly,Hematology,8175927523,"4802 Johnson Ave Jonesboro, AR 72401",30308,33.770571,-84.381182
Oswaldo Castro,Hematology,8751875002,"1840 7th St NW Washington, DC 20001",30308,33.770571,-84.381182
Frank Beardell,Hematology,3820470298,"4701 Ogletown Stanton Rd Newark, DE 19713",30308,33.770571,-84.381182
Anna Murillo,Hematology,9907275025,"300 Saint Christopher Dr Ashland, KY 41101",30308,33.770571,-84.381182
Kyle Noskoviak,Hematology,7289375252,"3801 National Ave Lab  Springfield, MO 65807",30308,33.770571,-84.381182
